Election,ALP,LP,LNP,NAT,UAP,CP,CP/NP,CLP,DLP,DEM,GRN,ON,FT,PROT,Others, Total
1901,19.4,0,0,0,0,0,0,0,0,0,0,0,34.2,44.4,2,100
1903,31,0,0,0,0,0,0,0,0,0,0,0,34.4,29.7,5,100
1906,36.6,0,0,0,0,0,0,0,0,0,0,0,0,16.4,8.7,100
1910,50,45.1,0,0,0,0,0,0,0,0,0,0,0,0,4.9,100
1913,48.5,48.9,0,0,0,0,0,0,0,0,0,0,0,0,2.6,100
1914,50.9,47.2,0,0,0,0,0,0,0,0,0,0,0,0,1.9,100
1917,43.9,0,0,54.2,0,0,0,0,0,0,0,0,0,0,1.8,100
1919,42.5,0,0,45.1,0,0.9,0,0,0,0,0,0,0,0,11.5,100
1922,42.3,0,0,35.2,0,12.6,0,0,0,0,0,0,0,0,10,100
1925,45,0,0,42.5,0,10.7,0,0,0,0,0,0,0,0,1.7,100
1928,44.7,0,0,39.1,0,10.5,0,0,0,0,0,0,0,0,5.8,100
1929,48.8,0,0,33.9,0,10.3,0,0,0,0,0,0,0,0,7,100
1931,27.1,0,0,0,36.4,12.2,0,0,0,0,0,0,0,0,24.3,100
1934,26.8,0,0,0,31.9,10.4,0,0,0,0,0,0,0,0,30.8,100
1937,43.1,0,0,0,34.4,11.5,0,0,0,0,0,0,0,0,11,100
1940,40.1,0,0,0,30.2,11.1,0,0,0,0,0,0,0,0,18.6,100
1943,49.9,0,0,0,16,6.3,0,0,0,0,0,0,0,0,27.6,100
1946,49.7,28.6,0,0,0,0,10.7,0,0,0,0,0,0,0,11,100
1949,46,39.3,0,0,0,0,10.8,0,0,0,0,0,0,0,3.9,100
1951,47.7,40.5,0,0,0,0,9.7,0,0,0,0,0,0,0,2.1,100
1954,50.1,38.5,0,0,0,0,8.5,0,0,0,0,0,0,0,2.9,100
1955,44.7,39.7,0,0,0,0,7.9,0,5.1,0,0,0,0,0,2.6,100
1958,42.9,37.1,0,0,0,0,9.3,0,9.4,0,0,0,0,0,1.3,100
1961,48,33.5,0,0,0,0,8.5,0,8.7,0,0,0,0,0,1.4,100
1963,45.5,37.1,0,0,0,0,8.9,0,7.4,0,0,0,0,0,1,100
1966,40,40.1,0,0,0,0,9.8,0,7.3,0,0,0,0,0,2.7,100
1969,47,34.8,0,0,0,0,8.6,0,6,0,0,0,0,0,3.7,100
1972,49.6,32,0,0,0,0,9.4,0,5.2,0,0,0,0,0,3.7,100
1974,49.3,34.9,0,0,0,0,10.8,0,1.4,0,0,0,0,0,3.5,100
1975,42.8,41.8,0,0,0,0,11,0.2,1.3,0,0,0,0,0,2.8,100
1977,39.6,38.1,0,0,0,0,9.8,0.2,1.4,9.4,0,0,0,0,1.4,100
1980,45.1,37.4,0,0,0,0,8.6,0.2,0.3,6.6,0,0,0,0,1.7,100
1983,49.5,34.4,0,0,0,0,9,0.2,0.2,5,0,0,0,0,1.7,100
1984,47.5,34.1,0,0,0,0,10.6,0.3,0.6,5.4,0,0,0,0,1.4,100
1987,45.8,34.3,0,0,0,0,11.5,0.2,0,6,0,0,0,0,2,100
1990,39.4,34.8,0,0,0,0,8.4,0.3,0,11.3,1.4,0,0,0,4.4,100
1993,44.9,36.8,0,0,0,0,7.2,0.3,0,3.8,1.9,0,0,0,5.2,100
1996,38.8,38.7,0,0,0,0,8.2,0.4,0,6.8,2.9,0,0,0,4.3,100
1998,40.1,33.9,0,0,0,0,5.3,0.3,0,5.1,2.6,8.4,0,0,4.2,100
2001,37.8,37.1,0,0,0,0,5.6,0.3,0,5.4,5,4.3,0,0,4.4,100
2004,37.6,40.5,0,0,0,0,5.9,0.3,0,1.2,7.2,1.2,0,0,6,100
2007,43.4,36.3,0,0,0,0,5.5,0.3,0,0.7,7.8,0.3,0,0,5.8,100
2010,38,30.5,9.1,0,0,0,3.7,0.3,0,0.2,11.8,0.2,0,0,6.2,100
2013,33.4,32,8.9,0,0,0,4.3,0.3,0.3,0,8.6,0.2,0,0,11.9,100
2016,34.7,28.7,8.5,0,0,0,4.6,0.2,0,0,10.2,1.3,0,0,11.7,100