Election,Party,ALP,Coalition
1949,ALP,47,53
1951,ALP,45.6,54.4
1954,ALP,48.1,51.9
1955,ALP,43.5,56.5
1958,ALP,40.8,59.2
1961,ALP,43.5,56.5
1963,ALP,43.8,56.2
1966,ALP,45.7,54.3
1969,ALP,52.6,47.4
1972,ALP,48.3,51.7
1974,ALP,48.5,51.5
1975,ALP,41.2,58.8
1977,ALP,39.9,60.1
1980,ALP,46.7,53.3
1983,ALP,55,45
1984,ALP,50.9,49.1
1987,ALP,50.9,49.1
1990,ALP,47.1,52.9
1993,ALP,46,54
1996,ALP,44,56
1998,ALP,49.5,50.5
2001,ALP,48.4,51.6
2004,ALP,44.6,55.4
2007,ALP,46.7,53.3
2010,ALP,43.6,56.4
2013,ALP,41.7,58.3
2016,ALP,45.3,54.7